Unique ID	Parent ID	Name	Tier 1	Tier 2	Tier 3	Description	Typical Effect
IM-5110	IM-5100	Same Day	Urgency	Immediate Need	Same Day	User likely needs same-day action	Very strong lower-funnel signal
IM-5120	IM-5100	As Soon As Possible	Urgency	Immediate Need	As Soon As Possible	User likely needs near-immediate action	Strong lower-funnel signal
IM-5200	IM-5000	Deadline Driven	Urgency	Deadline Driven		User is acting under time constraint	Useful for pacing and messaging
IM-5210	IM-5200	Event Driven	Urgency	Deadline Driven	Event Driven	User is driven by an upcoming event	Improves time sensitivity
IM-5220	IM-5200	Renewal Deadline	Urgency	Deadline Driven	Renewal Deadline	User has a renewal cutoff	Useful for retention campaigns
IM-6000	IM-0000	Budget Conscious	Budget Conscious			User is value-oriented or cost-constrained	Increases price sensitivity signal
IM-6100	IM-6000	Low Cost Preference	Budget Conscious	Low Cost Preference		User prefers cheaper options	Changes creative and bidding strategy
IM-6110	IM-6100	Best Value	Budget Conscious	Low Cost Preference	Best Value	User wants value balance	Useful for comparison pages
IM-6120	IM-6100	Cheapest Option	Budget Conscious	Low Cost Preference	Cheapest Option	User wants lowest price	May reduce premium fit
IM-6200	IM-6000	Financing Sensitivity	Budget Conscious	Financing Sensitivity		User is cost sensitive over time	Important for high-ticket products
IM-6210	IM-6200	Monthly Payment Focus	Budget Conscious	Financing Sensitivity	Monthly Payment Focus	User is thinking in monthly cost	Boosts financing relevance
IM-6220	IM-6200	Affordability Focus	Budget Conscious	Financing Sensitivity	Affordability Focus	User is checking affordability	Useful for lenders and large purchases
IM-7000	IM-0000	Upgrade Oriented	Upgrade Oriented			User likely already has a solution and wants a better one	Boosts replacement or upsell relevance
IM-7100	IM-7000	Replacement Cycle	Upgrade Oriented	Replacement Cycle		User is considering replacement	Useful in durable goods
IM-7110	IM-7100	Replace Existing Product	Upgrade Oriented	Replacement Cycle	Replace Existing Product	User is replacing current item	Strong purchase relevance
IM-7120	IM-7100	Trade In Focus	Upgrade Oriented	Replacement Cycle	Trade In Focus	User is considering trade-in	Useful in auto and devices
IM-7200	IM-7000	Plan Upgrade	Upgrade Oriented	Plan Upgrade		User is upgrading service or plan	Useful for telecom and SaaS
IM-7210	IM-7200	Feature Upgrade	Upgrade Oriented	Plan Upgrade	Feature Upgrade	User wants better capability	Boosts upsell relevance
IM-7220	IM-7200	Account Upgrade	Upgrade Oriented	Plan Upgrade	Account Upgrade	User is upgrading account or plan	Useful for retention
IM-8000	IM-0000	Switching Oriented	Switching Oriented			User may leave one provider for another	Useful for conquesting
IM-8100	IM-8000	Provider Switching	Switching Oriented	Provider Switching		User is switching service provider	Strong conquesting signal
IM-8110	IM-8100	Switch Current Provider	Switching Oriented	Provider Switching	Switch Current Provider	User is leaving current provider	Useful for competitive targeting
IM-8120	IM-8100	Compare Alternatives	Switching Oriented	Provider Switching	Compare Alternatives	User is assessing alternatives	Useful for upper-mid funnel
IM-8200	IM-8000	Product Switching	Switching Oriented	Product Switching		User is switching products or brands	Useful for category competitors
IM-8210	IM-8200	Move To New Brand	Switching Oriented	Product Switching	Move To New Brand	User is moving brands	Conquesting-friendly
IM-8220	IM-8200	Replace Current Solution	Switching Oriented	Product Switching	Replace Current Solution	User is replacing current solution	Useful in B2B and durables
