Mapping Row ID	User Intent Component	User Intent IDs	User Intent Names	IAB Audience Taxonomy Version	IAB Audience Candidate IDs	IAB Audience Candidate Names	Relationship Type	Mapping Confidence	Review Status	Mapping Notes
UIT-A-0056	Intent Domain	ID-8220	Retirement and Wealth Planning	1.1		Interest-based or purchase-intent retirement and wealth planning segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0057	Intent Domain	ID-9000	Insurance	1.1		Interest-based or purchase-intent insurance segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0058	Intent Domain	ID-9100	Personal Coverage	1.1		Interest-based or purchase-intent personal coverage segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0059	Intent Domain	ID-9110	Health and Life Coverage	1.1		Interest-based or purchase-intent health and life coverage segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0060	Intent Domain	ID-9120	Home and Auto Coverage	1.1		Interest-based or purchase-intent home and auto coverage segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0061	Intent Domain	ID-9200	Policy Management and Claims	1.1		Interest-based or purchase-intent policy management and claims segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0062	Intent Domain	ID-9210	Claims	1.1		Interest-based or purchase-intent claims segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0063	Intent Domain	ID-9220	Renewal and Changes	1.1		Interest-based or purchase-intent renewal and changes segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0064	Intent Domain	ID-A000	Real Estate	1.1		Interest-based or purchase-intent real estate segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0065	Intent Domain	ID-A100	Buying and Renting	1.1		Interest-based or purchase-intent buying and renting segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0066	Intent Domain	ID-A110	Home Purchase	1.1		Interest-based or purchase-intent home purchase segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0067	Intent Domain	ID-A120	Rentals	1.1		Interest-based or purchase-intent rentals segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0068	Intent Domain	ID-A200	Ownership and Financing	1.1		Interest-based or purchase-intent ownership and financing segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0069	Intent Domain	ID-A210	Mortgages and Refinance	1.1		Interest-based or purchase-intent mortgages and refinance segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0070	Intent Domain	ID-A220	Home Services and Ownership	1.1		Interest-based or purchase-intent home services and ownership segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0071	Intent Domain	ID-B000	Health Care	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0072	Intent Domain	ID-B100	Care Discovery	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0073	Intent Domain	ID-B110	Providers and Clinics	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0074	Intent Domain	ID-B120	Treatments and Procedures	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0075	Intent Domain	ID-B200	Medication and Ongoing Care	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0076	Intent Domain	ID-B210	Prescriptions	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0077	Intent Domain	ID-B220	Therapy and Ongoing Support	1.1		Health-related interest or purchase-intent segments	Adjacent	Medium	Proposed	Health-oriented audiences may exist, but sensitive-category handling is especially important and user-intent still remains more immediate than audience labels.
UIT-A-0078	Intent Domain	ID-C000	Wellness and Beauty	1.1		Interest-based wellness and beauty segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0079	Intent Domain	ID-C100	Fitness and Nutrition	1.1		Interest-based fitness and nutrition segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0080	Intent Domain	ID-C110	Fitness Programs	1.1		Interest-based fitness programs segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0081	Intent Domain	ID-C120	Diet and Supplements	1.1		Interest-based diet and supplements segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0082	Intent Domain	ID-C200	Beauty and Personal Care	1.1		Interest-based beauty and personal care segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0083	Intent Domain	ID-C210	Skincare and Cosmetics	1.1		Interest-based skincare and cosmetics segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0084	Intent Domain	ID-C220	Grooming and Services	1.1		Interest-based grooming and services segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0085	Intent Domain	ID-D000	Careers	1.1		Interest-based careers segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0086	Intent Domain	ID-D100	Job Search and Applications	1.1		Interest-based job search and applications segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0087	Intent Domain	ID-D110	Job Discovery	1.1		Interest-based job discovery segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0088	Intent Domain	ID-D120	Applications and Interviews	1.1		Interest-based applications and interviews segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0089	Intent Domain	ID-D200	Professional Growth	1.1		Interest-based professional growth segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0090	Intent Domain	ID-D210	Resume and Skills	1.1		Interest-based resume and skills segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0091	Intent Domain	ID-D220	Career Change	1.1		Interest-based career change segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0092	Intent Domain	ID-E000	Education	1.1		Interest-based or purchase-intent education segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0093	Intent Domain	ID-E100	Academic Programs	1.1		Interest-based or purchase-intent academic programs segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0094	Intent Domain	ID-E110	Schools and Degrees	1.1		Interest-based or purchase-intent schools and degrees segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0095	Intent Domain	ID-E120	Certifications and Courses	1.1		Interest-based or purchase-intent certifications and courses segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0096	Intent Domain	ID-E200	Admissions and Funding	1.1		Interest-based or purchase-intent admissions and funding segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0097	Intent Domain	ID-E210	Applications	1.1		Interest-based or purchase-intent applications segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0098	Intent Domain	ID-E220	Tuition and Aid	1.1		Interest-based or purchase-intent tuition and aid segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0099	Intent Domain	ID-F000	Parenting and Family	1.1		Interest-based parenting and family segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0100	Intent Domain	ID-F100	Family Products and Services	1.1		Interest-based family products and services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0101	Intent Domain	ID-F110	Baby and Child Products	1.1		Interest-based baby and child products segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0102	Intent Domain	ID-F120	Family Activities and Services	1.1		Interest-based family activities and services segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0103	Intent Domain	ID-F200	Parenting Guidance and Support	1.1		Interest-based parenting guidance and support segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0104	Intent Domain	ID-F210	Parenting Advice	1.1		Interest-based parenting advice segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0105	Intent Domain	ID-F220	Family Support Solutions	1.1		Interest-based family support solutions segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0106	Intent Domain	ID-G000	Home and Garden	1.1		Interest-based home and garden segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0107	Intent Domain	ID-G100	Furnishing and Decor	1.1		Interest-based furnishing and decor segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0108	Intent Domain	ID-G110	Furniture and Decor	1.1		Interest-based furniture and decor segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0109	Intent Domain	ID-G120	Appliances and Fixtures	1.1		Interest-based appliances and fixtures segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0110	Intent Domain	ID-G200	Repair Renovation and Services	1.1		Interest-based repair renovation and services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0111	Intent Domain	ID-G210	Repair and Maintenance	1.1		Interest-based repair and maintenance segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0112	Intent Domain	ID-G220	Remodel and Improvement	1.1		Interest-based remodel and improvement segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0113	Intent Domain	ID-H000	Professional Services	1.1		Interest-based or purchase-intent professional services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0114	Intent Domain	ID-H100	Home and Local Services	1.1		Interest-based or purchase-intent home and local services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0115	Intent Domain	ID-H110	Contractors and Repair Services	1.1		Interest-based or purchase-intent contractors and repair services segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0116	Intent Domain	ID-H120	Cleaning and Personal Services	1.1		Interest-based or purchase-intent cleaning and personal services segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0117	Intent Domain	ID-H200	Advisory and Consulting Services	1.1		Interest-based or purchase-intent advisory and consulting services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0118	Intent Domain	ID-H210	Financial Advisors and Tax Services	1.1		Interest-based or purchase-intent financial advisors and tax services segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0119	Intent Domain	ID-H220	Business and Strategy Consulting	1.1		Interest-based or purchase-intent business and strategy consulting segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0120	Intent Domain	ID-I000	Telecom and Utilities	1.1		Interest-based or purchase-intent telecom and utilities segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0121	Intent Domain	ID-I100	Connectivity Services	1.1		Interest-based or purchase-intent connectivity services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0122	Intent Domain	ID-I110	Mobile Plans	1.1		Interest-based or purchase-intent mobile plans segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0123	Intent Domain	ID-I120	Internet and Bundles	1.1		Interest-based or purchase-intent internet and bundles segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0124	Intent Domain	ID-I200	Utility Services	1.1		Interest-based or purchase-intent utility services segments	Adjacent	Medium	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
